model_type,	noise,angle,sig_frac,n_epochs,train_time,epochs,eval_acc,train_acc,test_acc,eval_loss,train_loss,test_loss,weighted_n_events,n_raw_bkgd,n_raw_sig,n_pass_bkgd,n_pass_sig,raw_signif,pass_signif
relegator_diff,	0.2,1.4,0.0018,1000,22.3839,315,0.7781,0.7780,0.7781,0.0066,0.0571,0.0323,100000,13441,178,1051,147,1.525,4.247
relegator_diff,	0.2,1.4,0.0018,1000,23.7020,328,0.7746,0.7744,0.7746,-0.0015,0.0592,0.0024,100000,13249,177,1132,156,1.528,4.347
relegator_diff,	0.2,1.4,0.0018,1000,37.6788,531,0.7761,0.7762,0.7761,-0.3699,-0.0479,-0.3091,100000,13548,175,70,99,1.494,7.615
relegator_diff,	0.2,1.4,0.0018,1000,21.2319,292,0.7658,0.7656,0.7658,-0.0064,0.0553,0.0141,100000,13407,175,963,136,1.502,4.102
relegator_diff,	0.2,1.4,0.0018,1000,22.5937,317,0.7257,0.7255,0.7257,-0.0121,0.0578,0.0122,100000,13425,178,725,133,1.526,4.541
relegator_diff,	0.2,1.4,0.0018,1000,37.3395,520,0.7667,0.7668,0.7667,-0.3846,-0.0547,-0.3246,100000,13291,179,79,106,1.542,7.793
relegator_diff,	0.2,1.4,0.0018,1000,24.4720,343,0.7639,0.7638,0.7640,-0.0019,0.0496,-0.0098,100000,13279,178,834,143,1.534,4.575
relegator_diff,	0.2,1.4,0.0018,1000,26.8849,373,0.7630,0.7629,0.7630,-0.0126,0.0606,0.0075,100000,13277,179,1012,139,1.543,4.097
relegator_diff,	0.2,1.4,0.0018,1000,20.2536,282,0.7369,0.7367,0.7369,0.0036,0.0646,0.0117,100000,13426,179,930,139,1.535,4.251
relegator_diff,	0.2,1.4,0.0018,1000,35.6563,496,0.7607,0.7607,0.7606,-0.3933,-0.0764,-0.3114,100000,13558,179,71,107,1.527,8.020
relegator_diff,	0.2,1.4,0.0018,1000,23.2756,326,0.6704,0.6702,0.6705,-0.0071,0.0423,0.0063,100000,13513,177,901,143,1.513,4.426
relegator_diff,	0.2,1.4,0.0018,1000,23.0921,318,0.7068,0.7066,0.7069,-0.0005,0.0689,-0.0011,100000,13445,177,980,136,1.517,4.071
relegator_diff,	0.2,1.4,0.0018,1000,21.1294,296,0.7424,0.7422,0.7424,-0.0044,0.0499,0.0056,100000,13167,178,1002,149,1.541,4.392
relegator_diff,	0.2,1.4,0.0018,1000,26.3188,366,0.7715,0.7714,0.7715,-0.0225,0.0557,-0.0152,100000,13455,179,708,140,1.533,4.808
relegator_diff,	0.2,1.4,0.0018,1000,23.3400,328,0.7538,0.7536,0.7538,0.0067,0.0769,0.0351,100000,13594,178,1020,145,1.517,4.248
relegator_diff,	0.2,1.4,0.0018,1000,27.0136,376,0.6629,0.6627,0.6630,-0.0230,0.0437,0.0161,100000,13494,176,779,133,1.505,4.404
relegator_diff,	0.2,1.4,0.0018,1000,23.6508,329,0.7627,0.7625,0.7627,-0.0060,0.0652,0.0193,100000,13424,177,905,147,1.518,4.532
relegator_diff,	0.2,1.4,0.0018,1000,24.2257,340,0.7660,0.7659,0.7661,-0.0096,0.0661,0.0059,100000,13490,178,864,136,1.523,4.301
regress,	0.2,1.4,0.0032,1000,29.2999,488,0.8080,0.8079,0.8080,0.2750,0.3089,0.2714,100000,13348,316,52,165,2.703,11.201
regress,	0.2,1.4,0.0032,1000,27.9867,468,0.8000,0.8000,0.8001,0.2695,0.3073,0.2810,100000,13298,316,68,176,2.708,11.267
regress,	0.2,1.4,0.0032,1000,31.4436,522,0.8162,0.8162,0.8163,0.2723,0.3023,0.2768,100000,13399,316,54,182,2.698,11.847
regress,	0.2,1.4,0.0032,1000,31.9433,530,0.7913,0.7912,0.7913,0.2755,0.3105,0.2743,100000,13455,312,40,169,2.659,11.690
regress,	0.2,1.4,0.0032,1000,32.2746,541,0.7980,0.7980,0.7981,0.2728,0.3072,0.2780,100000,13445,316,26,165,2.694,11.939
regress,	0.2,1.4,0.0032,1000,35.2604,585,0.7934,0.7933,0.7934,0.2812,0.3139,0.2684,100000,13256,314,39,163,2.696,11.469
regress,	0.2,1.4,0.0032,1000,37.5581,630,0.8137,0.8137,0.8137,0.2756,0.3103,0.2604,100000,13417,316,160,210,2.697,10.917
regress,	0.2,1.4,0.0032,1000,33.4108,560,0.7916,0.7915,0.7916,0.2779,0.3129,0.2691,100000,13234,313,96,181,2.689,10.875
regress,	0.2,1.4,0.0032,1000,30.7114,510,0.8005,0.8005,0.8006,0.2740,0.3087,0.2786,100000,13247,316,73,176,2.713,11.154
regress,	0.2,1.4,0.0032,1000,31.3610,526,0.8081,0.8080,0.8081,0.2691,0.3064,0.2706,100000,13483,312,56,162,2.656,10.972
regress,	0.2,1.4,0.0032,1000,29.2638,485,0.7977,0.7976,0.7977,0.2775,0.3138,0.2610,100000,13314,317,132,186,2.715,10.430
regress,	0.2,1.4,0.0032,1000,35.5866,596,0.7903,0.7903,0.7904,0.2697,0.3084,0.2813,100000,13392,314,33,135,2.682,10.415
regress,	0.2,1.4,0.0032,1000,29.7459,495,0.7977,0.7976,0.7977,0.2734,0.3080,0.2737,100000,13282,314,48,176,2.693,11.759
regress,	0.2,1.4,0.0032,1000,25.8561,431,0.7915,0.7914,0.7915,0.2760,0.3103,0.2685,100000,13339,316,21,151,2.704,11.514
regress,	0.2,1.4,0.0032,1000,28.0286,470,0.7956,0.7956,0.7957,0.2755,0.3112,0.2753,100000,13301,316,29,159,2.708,11.596
regress,	0.2,1.4,0.0032,1000,33.1540,548,0.8111,0.8111,0.8112,0.2721,0.3028,0.2775,100000,13420,316,36,174,2.696,12.007
regress,	0.2,1.4,0.0032,1000,29.5233,494,0.8022,0.8022,0.8022,0.2783,0.3136,0.2805,100000,13478,316,133,189,2.691,10.533
regress,	0.2,1.4,0.0032,1000,29.9440,501,0.8062,0.8061,0.8062,0.2757,0.3109,0.2836,100000,13258,315,65,158,2.704,10.580
binary_softmax,	0.2,1.4,0.0032,1000,32.5725,545,0.8138,0.8137,0.8138,0.2684,0.3030,0.2684,100000,13641,310,2050,277,2.625,5.742
binary_softmax,	0.2,1.4,0.0032,1000,28.7247,472,0.8015,0.8014,0.8015,0.2682,0.3064,0.2708,100000,13491,315,1888,274,2.681,5.893
binary_softmax,	0.2,1.4,0.0032,1000,25.9799,429,0.8021,0.8020,0.8021,0.2686,0.2986,0.2769,100000,13435,317,1962,278,2.703,5.874
binary_softmax,	0.2,1.4,0.0032,1000,26.7447,445,0.8019,0.8018,0.8019,0.2772,0.3097,0.2695,100000,13455,316,1656,268,2.693,6.110
binary_softmax,	0.2,1.4,0.0032,1000,27.8108,461,0.8029,0.8028,0.8029,0.2720,0.3072,0.2611,100000,13236,316,1821,278,2.714,6.068
binary_softmax,	0.2,1.4,0.0032,1000,26.7468,439,0.7817,0.7816,0.7817,0.2767,0.3085,0.2855,100000,13337,317,1929,290,2.713,6.156
binary_softmax,	0.2,1.4,0.0032,1000,30.6497,510,0.8070,0.8069,0.8070,0.2738,0.3108,0.2836,100000,13337,316,1775,280,2.704,6.177
binary_softmax,	0.2,1.4,0.0032,1000,28.1537,469,0.8134,0.8134,0.8135,0.2729,0.3069,0.2696,100000,13376,316,1940,276,2.701,5.863
binary_softmax,	0.2,1.4,0.0032,1000,32.5069,541,0.7925,0.7925,0.7925,0.2653,0.2995,0.2837,100000,13188,317,1638,273,2.728,6.245
binary_softmax,	0.2,1.4,0.0032,1000,25.8930,422,0.7789,0.7788,0.7790,0.2681,0.3023,0.2768,100000,13438,319,1640,272,2.720,6.220
binary_softmax,	0.2,1.4,0.0032,1000,29.1599,480,0.8067,0.8066,0.8067,0.2742,0.3109,0.2694,100000,13364,313,1817,272,2.676,5.951
binary_softmax,	0.2,1.4,0.0032,1000,25.7214,427,0.7927,0.7927,0.7927,0.2753,0.3091,0.2780,100000,13441,317,1734,287,2.703,6.384
binary_softmax,	0.2,1.4,0.0032,1000,27.5379,456,0.7905,0.7904,0.7905,0.2705,0.3038,0.2744,100000,13328,315,1756,268,2.697,5.957
binary_softmax,	0.2,1.4,0.0032,1000,30.6443,507,0.8122,0.8121,0.8122,0.2789,0.3131,0.2590,100000,13390,317,1834,276,2.708,6.009
binary_softmax,	0.2,1.4,0.0032,1000,29.5920,490,0.8028,0.8028,0.8028,0.2699,0.3061,0.2726,100000,13315,314,1668,269,2.690,6.112
binary_softmax,	0.2,1.4,0.0032,1000,25.1728,417,0.8108,0.8107,0.8108,0.2754,0.3110,0.2738,100000,13469,316,1823,276,2.691,6.024
binary_softmax,	0.2,1.4,0.0032,1000,27.5465,456,0.8061,0.8060,0.8061,0.2702,0.3065,0.2761,100000,13273,319,2017,281,2.736,5.862
binary_softmax,	0.2,1.4,0.0032,1000,28.7101,467,0.8156,0.8156,0.8156,0.2713,0.3080,0.2679,100000,13460,317,1905,276,2.701,5.910
binary_softmax,	0.2,1.4,0.0032,1000,27.7160,458,0.8063,0.8063,0.8063,0.2721,0.3095,0.2723,100000,13249,314,1797,271,2.696,5.959
binary_softmax,	0.2,1.4,0.0032,1000,29.4767,474,0.7926,0.7925,0.7926,0.2699,0.3053,0.2785,100000,13436,315,1816,279,2.686,6.096
relegator,	0.2,1.4,0.0032,1000,32.2283,440,0.7194,0.7194,0.7194,1.2541,1.7681,1.3188,100000,13283,315,34,161,2.701,11.529
relegator,	0.2,1.4,0.0032,1000,34.6575,481,0.7372,0.7371,0.7372,1.3445,2.0055,1.4417,100000,13287,316,67,178,2.709,11.372
relegator,	0.2,1.4,0.0032,1000,33.9763,467,0.7226,0.7226,0.7226,1.2668,1.8405,1.2703,100000,13449,315,40,159,2.685,11.271
relegator,	0.2,1.4,0.0032,1000,37.8956,524,0.4070,0.4071,0.4069,1.2971,2.0480,1.3934,100000,13117,315,33,161,2.718,11.559
relegator,	0.2,1.4,0.0032,1000,30.5314,422,0.7028,0.7027,0.7028,1.1958,1.9195,1.2291,100000,13511,319,42,175,2.713,11.880
relegator,	0.2,1.4,0.0032,1000,35.0543,481,0.6705,0.6704,0.6705,1.2676,1.9224,1.3206,100000,13406,317,38,177,2.706,12.071
relegator,	0.2,1.4,0.0032,1000,18.4250,254,0.6401,0.6400,0.6401,3.0344,3.2088,3.5311,100000,13489,317,2931,261,2.698,4.620
relegator,	0.2,1.4,0.0032,1000,36.3202,502,0.4947,0.4947,0.4947,1.0880,1.1281,1.0807,100000,13410,312,1,73,2.663,8.486
relegator,	0.2,1.4,0.0032,1000,33.3303,459,0.3870,0.3872,0.3869,1.1780,1.2017,1.1804,100000,13348,315,0,58,2.695,7.616
relegator,	0.2,1.4,0.0032,1000,34.1007,473,0.7559,0.7559,0.7559,1.2289,1.8896,1.1708,100000,13572,315,35,158,2.673,11.373
relegator,	0.2,1.4,0.0032,1000,32.3929,445,0.5830,0.5829,0.5830,1.2518,1.8743,1.2887,100000,13417,316,29,144,2.697,10.948
relegator,	0.2,1.4,0.0032,1000,36.2099,502,0.6879,0.6879,0.6879,1.1317,1.8127,1.1872,100000,13494,315,21,152,2.681,11.556
relegator,	0.2,1.4,0.0032,1000,34.8116,481,0.7071,0.7072,0.7071,1.2377,1.4170,1.3027,100000,13607,315,1,65,2.670,8.001
relegator,	0.2,1.4,0.0032,1000,34.7819,481,0.7300,0.7300,0.7300,1.2971,1.9590,1.2509,100000,13307,318,41,171,2.724,11.744
relegator,	0.2,1.4,0.0032,1000,32.8010,453,0.7311,0.7311,0.7312,1.2548,1.9191,1.3228,100000,13476,318,38,170,2.708,11.787
relegator,	0.2,1.4,0.0032,1000,31.5234,433,0.6701,0.6700,0.6702,1.2727,1.8716,1.3837,100000,13182,317,39,159,2.728,11.300
relegator,	0.2,1.4,0.0032,1000,35.7636,497,0.5220,0.5221,0.5220,1.1212,1.1094,1.1913,100000,13273,319,0,61,2.736,7.810
relegator,	0.2,1.4,0.0032,1000,31.5883,438,0.6495,0.6494,0.6496,1.1741,1.8181,1.2692,100000,13417,317,27,161,2.705,11.742
relegator,	0.2,1.4,0.0032,1000,32.0298,440,0.5689,0.5688,0.5689,1.2075,1.8829,1.3337,100000,13362,318,11,123,2.719,10.626
relegator_factor,	0.2,1.4,0.0032,1000,26.7412,373,0.7496,0.7495,0.7497,0.5904,0.7151,0.6610,100000,13167,318,826,244,2.738,7.459
relegator_factor,	0.2,1.4,0.0032,1000,29.6003,417,0.7585,0.7584,0.7586,0.5705,0.7047,0.6149,100000,13420,318,756,256,2.713,8.047
relegator_factor,	0.2,1.4,0.0032,1000,28.7135,398,0.7649,0.7648,0.7650,0.6364,0.7781,0.6072,100000,13303,314,1015,253,2.691,7.105
relegator_factor,	0.2,1.4,0.0032,1000,27.6121,385,0.7547,0.7546,0.7547,0.5876,0.7454,0.6020,100000,13325,320,804,254,2.739,7.809
relegator_factor,	0.2,1.4,0.0032,1000,28.2186,397,0.7434,0.7432,0.7434,0.6381,0.7800,0.6482,100000,13506,317,1128,250,2.696,6.735
relegator_factor,	0.2,1.4,0.0032,1000,31.9719,445,0.7775,0.7774,0.7775,0.5683,0.7249,0.5957,100000,13483,314,895,245,2.673,7.256
relegator_factor,	0.2,1.4,0.0032,1000,35.9623,505,0.6462,0.6460,0.6462,0.5531,0.6860,0.5343,100000,13381,315,631,238,2.692,8.074
relegator_factor,	0.2,1.4,0.0032,1000,39.6398,556,0.7730,0.7730,0.7730,0.3686,0.5881,0.3881,100000,13486,318,128,211,2.707,11.460
relegator_factor,	0.2,1.4,0.0032,1000,31.5359,440,0.3829,0.3830,0.3829,0.4291,0.7747,0.4698,100000,13398,315,14,164,2.690,12.292
relegator_factor,	0.2,1.4,0.0032,1000,27.7061,385,0.7556,0.7555,0.7556,0.6195,0.7495,0.6253,100000,13458,320,854,249,2.726,7.497
relegator_factor,	0.2,1.4,0.0032,1000,50.3054,707,0.7749,0.7749,0.7748,0.3283,0.5058,0.3432,100000,13415,316,144,203,2.697,10.898
relegator_factor,	0.2,1.4,0.0032,1000,31.4629,438,0.7657,0.7656,0.7657,0.6021,0.6982,0.5858,100000,13430,311,855,248,2.653,7.467
relegator_factor,	0.2,1.4,0.0032,1000,30.5429,429,0.6942,0.6941,0.6943,0.5749,0.7435,0.5809,100000,13589,316,678,237,2.680,7.835
relegator_factor,	0.2,1.4,0.0032,1000,31.4450,440,0.6741,0.6740,0.6742,0.5304,0.6951,0.5220,100000,13284,315,500,229,2.701,8.481
relegator_factor,	0.2,1.4,0.0032,1000,32.6609,456,0.7643,0.7642,0.7643,0.5851,0.7132,0.5636,100000,13565,315,730,231,2.674,7.452
relegator_factor,	0.2,1.4,0.0032,1000,28.4747,399,0.7547,0.7546,0.7548,0.5760,0.7443,0.6147,100000,13608,314,814,239,2.661,7.365
relegator_factor,	0.2,1.4,0.0032,1000,30.0569,419,0.7243,0.7242,0.7244,0.5684,0.7089,0.6085,100000,13337,318,780,245,2.721,7.653
relegator_factor,	0.2,1.4,0.0032,1000,24.2745,338,0.7380,0.7378,0.7380,0.5830,0.7439,0.6272,100000,13268,316,876,240,2.711,7.184
relegator_diff,	0.2,1.4,0.0032,1000,30.1286,425,0.7657,0.7658,0.7657,-0.8704,-0.3535,-1.0950,100000,13432,320,52,177,2.729,11.696
relegator_diff,	0.2,1.4,0.0032,1000,25.6205,357,0.7667,0.7666,0.7668,-0.2504,-0.1576,-0.2301,100000,13462,318,627,240,2.709,8.151
relegator_diff,	0.2,1.4,0.0032,1000,30.0105,422,0.7458,0.7459,0.7458,-1.0510,-0.3217,-0.9308,100000,13449,318,31,178,2.710,12.313
relegator_diff,	0.2,1.4,0.0032,1000,34.3230,477,0.7439,0.7439,0.7438,-1.0597,-0.3427,-0.8454,100000,13521,316,44,175,2.686,11.825
relegator_diff,	0.2,1.4,0.0032,1000,31.1313,438,0.7603,0.7604,0.7602,-1.0849,-0.3941,-0.8898,100000,13219,315,23,166,2.708,12.075
relegator_diff,	0.2,1.4,0.0032,1000,22.4608,312,0.7518,0.7516,0.7518,-0.2778,-0.1408,-0.2451,100000,13397,313,444,225,2.673,8.699
relegator_diff,	0.2,1.4,0.0032,1000,30.7009,429,0.7547,0.7548,0.7547,-0.9569,-0.3896,-0.8670,100000,13364,319,53,180,2.727,11.792
relegator_diff,	0.2,1.4,0.0032,1000,30.4628,427,0.7508,0.7508,0.7507,-0.8996,-0.2947,-0.8905,100000,13368,315,46,174,2.693,11.731
relegator_diff,	0.2,1.4,0.0032,1000,36.5800,512,0.7818,0.7819,0.7818,-0.8721,-0.3177,-0.9057,100000,13550,319,73,180,2.709,11.317
relegator_diff,	0.2,1.4,0.0032,1000,29.1269,405,0.7529,0.7530,0.7529,-0.9920,-0.4002,-0.8094,100000,13338,315,47,163,2.696,11.248
relegator_diff,	0.2,1.4,0.0032,1000,30.2358,423,0.7653,0.7654,0.7653,-1.0213,-0.3369,-0.9027,100000,13482,316,26,164,2.690,11.898
relegator_diff,	0.2,1.4,0.0032,1000,32.5816,459,0.7706,0.7707,0.7706,-1.0291,-0.3387,-0.8160,100000,13259,316,31,169,2.712,11.950
relegator_diff,	0.2,1.4,0.0032,1000,36.2819,508,0.7475,0.7476,0.7475,-1.0697,-0.3307,-1.1310,100000,13440,316,49,161,2.694,11.110
relegator_diff,	0.2,1.4,0.0032,1000,28.0418,391,0.6959,0.6960,0.6959,-1.1222,-0.3526,-0.9819,100000,13353,313,20,164,2.677,12.090
relegator_diff,	0.2,1.4,0.0032,1000,23.4684,328,0.7642,0.7641,0.7643,-0.2584,-0.1308,-0.2468,100000,13314,316,562,230,2.707,8.173
relegator_diff,	0.2,1.4,0.0032,1000,23.7786,333,0.7421,0.7419,0.7421,-0.2541,-0.1475,-0.2642,100000,13274,317,726,249,2.719,7.974
relegator_diff,	0.2,1.4,0.0032,1000,30.6289,429,0.7303,0.7304,0.7303,-1.0108,-0.3297,-0.8287,100000,13608,317,62,192,2.686,12.047
relegator_diff,	0.2,1.4,0.0032,1000,30.1603,420,0.7621,0.7621,0.7620,-0.9498,-0.3303,-0.9138,100000,13381,313,47,163,2.675,11.248
relegator_diff,	0.2,1.4,0.0032,1000,34.3249,478,0.7500,0.7501,0.7500,-0.9653,-0.3131,-0.9303,100000,13287,317,34,173,2.718,12.024
regress,	0.2,1.4,0.0056,1000,39.4480,662,0.8089,0.8089,0.8090,0.2677,0.3007,0.2657,100000,13328,556,46,314,4.719,16.549
regress,	0.2,1.4,0.0056,1000,34.8243,580,0.8083,0.8082,0.8083,0.2775,0.3131,0.2745,100000,13474,552,94,327,4.661,15.937
regress,	0.2,1.4,0.0056,1000,29.2118,486,0.7856,0.7855,0.7856,0.2788,0.3162,0.2863,100000,13440,555,48,301,4.691,16.112
regress,	0.2,1.4,0.0056,1000,27.9007,466,0.8146,0.8145,0.8146,0.2704,0.3076,0.2724,100000,13285,551,191,341,4.684,14.784
regress,	0.2,1.4,0.0056,1000,28.5490,468,0.7861,0.7861,0.7862,0.2795,0.3141,0.2780,100000,13439,552,112,326,4.667,15.577
regress,	0.2,1.4,0.0056,1000,26.5021,441,0.7761,0.7760,0.7761,0.2780,0.3114,0.2803,100000,13439,550,145,360,4.650,16.020
regress,	0.2,1.4,0.0056,1000,26.7133,443,0.7876,0.7876,0.7877,0.2820,0.3174,0.2695,100000,13321,554,110,339,4.703,15.998
regress,	0.2,1.4,0.0056,1000,32.3168,539,0.8140,0.8140,0.8141,0.2677,0.3036,0.2746,100000,13599,554,110,338,4.657,15.969
regress,	0.2,1.4,0.0056,1000,33.9703,565,0.7949,0.7949,0.7950,0.2776,0.3107,0.2713,100000,13542,553,178,354,4.658,15.348
regress,	0.2,1.4,0.0056,1000,27.6834,463,0.8063,0.8062,0.8063,0.2762,0.3103,0.2806,100000,13299,556,121,329,4.724,15.509
regress,	0.2,1.4,0.0056,1000,30.3754,507,0.8120,0.8120,0.8121,0.2764,0.3110,0.2853,100000,13167,553,123,329,4.721,15.475
regress,	0.2,1.4,0.0056,1000,29.7658,490,0.8009,0.8008,0.8009,0.2744,0.3060,0.2865,100000,13229,556,126,341,4.736,15.780
regress,	0.2,1.4,0.0056,1000,29.7471,500,0.7964,0.7964,0.7965,0.2771,0.3111,0.2847,100000,13362,552,111,357,4.680,16.502
regress,	0.2,1.4,0.0056,1000,30.1299,502,0.8134,0.8134,0.8135,0.2798,0.3150,0.2691,100000,13269,551,47,297,4.687,16.013
regress,	0.2,1.4,0.0056,1000,29.2288,491,0.7980,0.7979,0.7980,0.2727,0.3076,0.2732,100000,13222,555,118,330,4.728,15.591
regress,	0.2,1.4,0.0056,1000,33.1483,549,0.8103,0.8103,0.8103,0.2744,0.3092,0.2646,100000,13318,548,85,346,4.654,16.666
regress,	0.2,1.4,0.0056,1000,34.0611,565,0.8121,0.8120,0.8121,0.2706,0.3037,0.2876,100000,13467,558,70,307,4.712,15.811
regress,	0.2,1.4,0.0056,1000,31.8411,530,0.7954,0.7953,0.7954,0.2740,0.3096,0.2673,100000,13219,548,159,355,4.670,15.658
regress,	0.2,1.4,0.0056,1000,28.5459,473,0.7948,0.7947,0.7948,0.2806,0.3178,0.2751,100000,13267,551,179,354,4.687,15.333
regress,	0.2,1.4,0.0056,1000,29.6713,496,0.7994,0.7993,0.7994,0.2744,0.3068,0.2787,100000,13109,547,146,346,4.681,15.599
binary_softmax,	0.2,1.4,0.0056,1000,29.2509,486,0.8037,0.8037,0.8037,0.2759,0.3096,0.2745,100000,13438,553,1769,485,4.675,10.216
binary_softmax,	0.2,1.4,0.0056,1000,30.4107,499,0.8044,0.8044,0.8045,0.2758,0.3112,0.2762,100000,13462,554,1989,480,4.679,9.660
binary_softmax,	0.2,1.4,0.0056,1000,33.2141,550,0.8173,0.8172,0.8173,0.2680,0.3039,0.2788,100000,13296,552,1662,484,4.691,10.448
binary_softmax,	0.2,1.4,0.0056,1000,31.4480,523,0.8027,0.8026,0.8027,0.2811,0.3156,0.2659,100000,13450,555,1739,476,4.690,10.114
binary_softmax,	0.2,1.4,0.0056,1000,27.2700,451,0.7979,0.7978,0.7979,0.2742,0.3129,0.2801,100000,13369,553,1892,488,4.687,10.003
binary_softmax,	0.2,1.4,0.0056,1000,28.4538,468,0.8053,0.8052,0.8053,0.2744,0.3106,0.2775,100000,13514,550,1779,467,4.638,9.854
binary_softmax,	0.2,1.4,0.0056,1000,33.1680,548,0.7981,0.7980,0.7981,0.2768,0.3116,0.2677,100000,13369,558,1583,475,4.728,10.471
binary_softmax,	0.2,1.4,0.0056,1000,26.4646,436,0.8018,0.8018,0.8019,0.2789,0.3093,0.2819,100000,13553,556,1701,489,4.681,10.449
binary_softmax,	0.2,1.4,0.0056,1000,31.5403,519,0.7970,0.7970,0.7971,0.2817,0.3190,0.2759,100000,13140,555,1577,486,4.743,10.700
binary_softmax,	0.2,1.4,0.0056,1000,26.0472,430,0.7938,0.7938,0.7939,0.2708,0.3077,0.2748,100000,13265,550,1800,466,4.679,9.789
binary_softmax,	0.2,1.4,0.0056,1000,24.9216,406,0.8004,0.8003,0.8004,0.2799,0.3143,0.2765,100000,13389,553,1737,482,4.683,10.232
binary_softmax,	0.2,1.4,0.0056,1000,26.0375,421,0.7971,0.7971,0.7972,0.2743,0.3134,0.2632,100000,13202,552,1912,499,4.707,10.163
binary_softmax,	0.2,1.4,0.0056,1000,32.7429,539,0.8083,0.8082,0.8083,0.2730,0.3069,0.2731,100000,13311,550,1463,473,4.672,10.750
binary_softmax,	0.2,1.4,0.0056,1000,26.5210,436,0.7999,0.7998,0.7999,0.2705,0.3045,0.2776,100000,13333,553,1884,495,4.693,10.149
binary_softmax,	0.2,1.4,0.0056,1000,27.5047,454,0.8046,0.8045,0.8046,0.2708,0.3072,0.2798,100000,13276,555,1493,476,4.719,10.727
binary_softmax,	0.2,1.4,0.0056,1000,26.3465,430,0.8084,0.8084,0.8085,0.2785,0.3133,0.2792,100000,13277,554,1966,490,4.711,9.887
binary_softmax,	0.2,1.4,0.0056,1000,30.3167,496,0.8119,0.8119,0.8119,0.2639,0.3014,0.2810,100000,13348,553,1708,470,4.690,10.071
binary_softmax,	0.2,1.4,0.0056,1000,25.8017,427,0.8065,0.8064,0.8065,0.2716,0.3057,0.2795,100000,13334,549,1508,475,4.659,10.667
binary_softmax,	0.2,1.4,0.0056,1000,25.9503,423,0.7999,0.7998,0.7999,0.2742,0.3080,0.2733,100000,13116,552,1703,489,4.722,10.445
binary_softmax,	0.2,1.4,0.0056,1000,25.4792,422,0.8167,0.8167,0.8168,0.2734,0.3091,0.2627,100000,13577,554,1796,489,4.660,10.230
relegator,	0.2,1.4,0.0056,1000,33.4997,466,0.6983,0.6982,0.6983,0.8854,1.2119,0.9150,100000,13182,553,41,308,4.719,16.487
relegator,	0.2,1.4,0.0056,1000,29.8062,411,0.4134,0.4137,0.4133,1.0625,1.4491,1.1441,100000,13314,557,6,183,4.729,13.311
relegator,	0.2,1.4,0.0056,1000,34.4711,477,0.6538,0.6537,0.6538,0.8708,1.2303,0.8592,100000,13410,549,38,313,4.647,16.707
relegator,	0.2,1.4,0.0056,1000,35.8640,497,0.7426,0.7426,0.7425,0.8488,1.1964,0.8127,100000,13199,554,37,284,4.724,15.851
relegator,	0.2,1.4,0.0056,1000,39.1572,539,0.7360,0.7360,0.7360,0.9027,1.2196,0.9012,100000,13384,550,52,294,4.659,15.806
relegator,	0.2,1.4,0.0056,1000,36.1993,505,0.7460,0.7460,0.7460,0.9076,1.2102,0.9226,100000,13446,555,52,279,4.690,15.335
relegator,	0.2,1.4,0.0056,1000,29.3421,404,0.4071,0.4073,0.4070,1.0370,1.3940,1.0262,100000,13497,556,45,290,4.690,15.844
relegator,	0.2,1.4,0.0056,1000,36.5298,506,0.7310,0.7311,0.7310,0.8381,1.2290,0.8950,100000,13139,553,33,265,4.726,15.351
relegator,	0.2,1.4,0.0056,1000,30.6820,421,0.7326,0.7325,0.7326,0.9517,1.2758,1.0112,100000,13478,556,52,302,4.693,16.051
relegator,	0.2,1.4,0.0056,1000,32.8998,455,0.7431,0.7431,0.7431,0.8969,1.2768,0.9200,100000,13454,554,46,308,4.681,16.370
relegator,	0.2,1.4,0.0056,1000,32.8228,455,0.7139,0.7138,0.7139,0.9198,1.2786,0.9526,100000,13366,552,100,321,4.679,15.645
relegator,	0.2,1.4,0.0056,1000,40.5376,560,0.6729,0.6728,0.6729,0.8076,1.2521,0.8028,100000,13345,557,51,307,4.724,16.225
relegator,	0.2,1.4,0.0056,1000,30.9568,431,0.7660,0.7660,0.7660,0.9005,1.2798,0.8943,100000,13294,556,88,319,4.724,15.812
relegator,	0.2,1.4,0.0056,1000,35.1420,487,0.7275,0.7275,0.7275,0.9019,1.2473,0.8848,100000,13456,551,42,296,4.656,16.100
relegator,	0.2,1.4,0.0056,1000,34.5927,480,0.7090,0.7091,0.7090,0.8853,1.2604,0.8798,100000,13252,549,29,291,4.673,16.267
relegator,	0.2,1.4,0.0056,1000,42.0615,579,0.7451,0.7451,0.7451,0.8321,1.2163,0.8966,100000,13315,551,54,315,4.679,16.398
relegator,	0.2,1.4,0.0056,1000,33.7830,469,0.4133,0.4132,0.4134,0.9546,1.3107,0.9665,100000,13232,555,50,299,4.727,16.005
relegator,	0.2,1.4,0.0056,1000,34.5573,479,0.7492,0.7491,0.7492,0.9154,1.2063,0.9346,100000,13226,554,63,316,4.719,16.232
relegator,	0.2,1.4,0.0056,1000,33.2442,459,0.7174,0.7173,0.7175,1.3479,1.5342,1.2997,100000,13482,549,357,378,4.635,13.943
relegator_factor,	0.2,1.4,0.0056,1000,34.2511,479,0.7473,0.7472,0.7473,0.3174,0.4045,0.3132,100000,13497,554,655,421,4.674,12.834
relegator_factor,	0.2,1.4,0.0056,1000,29.3134,411,0.7619,0.7618,0.7619,0.3859,0.4385,0.4067,100000,13270,553,966,423,4.704,11.350
